,0,1
47,47,"I tried to order within Chipotle’s app twice and both times orders were never delivered! After complaining, Chipotle does nothing to correct the problem nor even try! Qdoba will not be my place to go!"
48,48,"We've been to 2 Chipotles in Chicago on vacation here. Both locations without even having to ask to follow protocol for a gluten allergy have just jumped, fresh bins, separated and completed with a smile. Where we live, that's hard to find …"
49,49,"I work right near this location. I try to come in often as they make some great food. I ordered a quesadilla today, and the manager comped it because they hadn't seen me for a while! Free food tastes great, but regardless of that, I really enjoy this location and have been enjoying it for years!"
50,50,"This is easily the best Chipotle in Chicago. I work in the area and even though it's always super busy during lunch, my online order is ready when it's supposed to be, and is perfect. This Chipotle is truly the only good thing about working in River North, which is a nightmare hellscape."
51,51,"Nice and spacious. Beautiful window view and the staff are pretty nice, courteous and professional. The food is good, just need a touch more of salt. Other than that, I really don't have any complaints at all."
52,52,"It's chipotle, the staff are chill and made you some tasty food what's not to like"
53,53,Food was fresh but portions .. quarter of a spoon of meat?!! Or of pretty much anything. Beans and rice had no flavor. Scratching this location off the list for sure
54,54,I've been here three times for lunch; quick service every time. It's a small spot but never had trouble finding a place to sit. Generous with the sour creme.
55,55,"I love chipotle in general, this location is great because it's good food for a fantastic price in the middle of the restaurant district of Chicago. NOT impressed with their online ordering... They advertise it like it's a time saver and …"
56,56,"Ahhhh, Chipotle, we meet again. How I have loved  your chicken burritos for so long. I've recently switched to chicken bowls rather than burritos to save on the carbs. I was afraid I would lose some of the flavor, but none was lost! I love …"
57,57,"This store has drastically changed within the last two weeks. It's dirty, there are bugs flying out of the plasticware dispenser, and all of the tables have food on them. The last clean table is where some of the staff are randomly hanging out while the few in line are doing the brunt of the work. Never again!"
58,58,You'll have to wait about 10+ minutes during the lunch rush which is when I go. Other than that generous servings compared to the one by my house. Just need to be able to move customers out faster.
59,59,"Mexican grill offering quick options like burritos, tacos, burrito bowls, etc. They used to be my favorite 'go to' spot for burritos but now I usually frequent my neighborhood mom and pop Mexican restaurant. Chipotle is okay if you're …"
60,60,"Mistakenly ordered a burrito instead of a bowl. When i asked if the bowl could be made instead, the cashier proceeded to insult me with expletives. I've never had such an awful experience and I will not be returning."
61,61,"Chipotle is great.  I never used to eat burritos before a friend introduced me to them here.  Now that ive widened my horizons, ive tried them at lots of places, but chipotle is the only place i keep coming back to.  Its great being able to …"
62,62,Loveeeee this Chipotle. The food is amazing and not to mention the staff. Always positive and so helpful! I come everyday and never have a single complain. Highly recommend this restaurant!
63,63,"This chipotle sucks! Yes, its possible. just threw out all of my food because the guacamole was old and ruined everything. This isnt a first time so i have to say something. Freaking sucks. I spend $10.04 on food i expect it to be somewhat …"
64,64,"The place if fast if you in a rush, but still gives great service. It is always filling and I recommend the Bowl!! You can't go wrong with getting the chicken. I also recommend the chips with some sour cream."
65,65,Saw a cockroach in the dining area while in line and walked out. I see a 7 month old review talking about cockroaches as well. Get your roach problem under control.
66,66,"Mom and I had delicious tacos, actually she had a chicken bowl without the tortillas. My tacos were yummy!"
67,67,"Worst service ever! Small portions, rude employee, dirty store! Avoid at all costs"
68,68,Had the smallest portion ever with this Chipotle location. Usually I'm stuffed after a eating a bowl at other locations but not this one. All the tables were unclean. Had to walk around to find a clean table.
69,69,"I love chipotle, but I went to this new location and was surprised by the really bad customer service. The two girls serving the food looked down on customers, and seemed like they were not enjoying their job, and were taking it all out on the customers. Will not go back to this location."
70,70,"Don’t go to this location they will give you half spoon of everything, including your protein which is the worst.  SMH! Very disappointed, I basically paid $21.5 for 2 half burritos 🌯🙄 …"
71,71,There were several large pieces of avocado shell in my burrito. See included photo.
72,72,What can I say I just love me some Chipotle got to get that half chicken half steak burrito with fajita mix black beans pico de gallo and a red sauce and lettuce. …
73,73,"I feel like they're going light on giving you extra ingredients and making the burritos smaller than they used to but it's still really good, fresh food."
74,74,Best Chipotle I have ever been too. The staff seems to enjoy their jobs there. The place is very clean. It's definitely my favorite location.
75,75,Incredible food nice staff
76,76,It's chipotle. What does that mean?  You're going to have a fast delicious tex-mex style meal. You'll leave with a full belly. I'm a big fan of ordering the burrito bowl with tacos on the side (no extra charge).
77,77,"This Chipotle is very similar to the other's in the franchise, but it's the one closest to my work so I frequent it most often.  The burritos are delicious :)  There is often a line during lunch, so be prepared."
78,78,"New smoked brisket is the worst. Dry, hard, tasteless pieces of burnt charcoal. Don't try it."
79,79,"Its chipotle, but it was never busy for marathon weekend and i was in and out without a hiccup."
80,80,"Service sucks at this location but it is otherwise the same old Chipotle food you will get at any other location.  I recommend going to a real Mexican restaurant if you're already downtown but if you have to have Chipotle, this will do."
81,81,"Convenient, fast, clean, and great food! Would have loved more seating, and perhaps something a bit more comfortable as a queue area, but otherwise this is a great place to grab a bite anytime!"
82,82,"They use the grass feed cows' meat!  It was recommended  in Food Inc movie!
Very fast you can pickup your food or dine in and the Mexican food choices are delicious."
83,83,"Like every other River​ North counter service lunch spot, long lines and scarce seating at lunch rush. Otherwise, standard Chipotle conveniently located at the corner of State St. And Grand."
84,84,"The thing about all chipotles is the servers don't listen and ask the same questions over and over. I don't get it, because this is particular to chipotles only. It's almost as if they're in their own world."
85,85,Great location. The staff is super friendly and fast. Really enjoyed it.
86,86,I had an awesome time the staff was friendly and nice the bathrooms were clean and sanitized.....great experience will definitely back👍👍👍the food was scrumptious as always..... …
87,87,"I love chipotle, I don't love this location. You basically get a rice burrito. Walk an extra few blocks to the one on Michigan. Much better"
88,88,"Server gave different amounts of meat to different customers, chicken was burnt. Other than that, service was fast and nice."
89,89,"Been to this location multiple times. Hard, uncooked rice, smaller serving sizes than other locations, and occasional bad service are among the reasons I will never return here."
90,90,I don't understand how this restaurant franchise stays open for business. The food nasty and environment preparation area is full of germs/contamination.
91,91,Girl that took my order seemed to be annoyed the whole time and didn’t give me the proper amount of food. I asked for more rice and that seemed to bother her...
92,92,Every time I go there the food is looking dry up why can't you stir the food make it presentable I walk out every time and go to Chipotle on state
93,93,They need to start hiring people who actually care for their customers. They need to loose their attitudes before walking in for their shift. Makes customers uncomfortable.
94,94,If you order a large guacamole with a large bag of chips make sure they don’t give you a regular bag of chips. They keep making the same mistake.
95,95,Their food is wonderful.I love how they mix there foods together. Their service is unbelievable .When you eat their food it gives you that mexican feel about food.
96,96,"How mych do I lover thee, let me count the ways, love those burrito bowls, steak, yummy goodness in a bowl, thats rocks, you can add the vegiies and cheese and salsa, it never ends, I became addicted to the stuff during pregnancy and it stayed with me"
97,97,Your average Chipotle. One thing that is annoying is that this place always breaks (when folding it they pop it) my burrito unlike other Chipotles that I visit.
98,98,"Quick, filling, great food - team is more than happy to help you choose the best dish from their menu"
99,99,"The food at this location is the same as the other chipotle branches, yet I have had repeated occurrences with rude staff and unethical behavior at this location, I reccomend walking to the other downtown locations."
100,100,"Been here multiple times, usually packed, but when I came in to pick up an online order, there was no one in line, yet took 15 minutes to get someone's attention and my order hadn't been started."
101,101,Found four small pieces of bones in my food. Felt severe discomfort while chewing the food. I am a regular customer but this was very bad experience.
102,102,"The food was good, but my son couldn't get in the bathroom even with the secret code."
103,103,"Never been to this location, live the Brand and the Food. The location is good for in and out parking for downtown."
104,104,"First time I had Chipotle, Belgian guy in Chicago, was great, I enjoyed it for like 3 days."
105,105,"It's clean inside, but compared to other chiptole locations in the city, the staff here are... ""Slightly less competent"" you could say. Not for folks in a hurry"
106,106,"Chipotle is definitely the best restaurant of its kind in terms of serving fresh, tasty, well-portioned, responsibly sourced food"
107,107,"Five stars for being exactly what you'd expect from any Chipotle. Despite its downtown location, the prices are still the same as anywhere else."
108,108,Good food at decent prices. Can get a little noisy around lunch and very busy.
109,109,"It's alright,  tolerable. If I want real Mexican food I wouldn't eat at Chipotle"
110,110,It's Chipotle.. Same great food and large portions at a great price.  You know I'll be back
111,111,Staff was friendly. Everything was clean. Bathrooms were clean. Food was great! It was good times!
112,112,Made fresh daily you can taste the hard work that goes into each meal 😁❤👍 …
113,113,"Serving & wrapping is little different than what I used have in Toronto, Canada. Overall it is ok."
114,114,Waited +8 minutes than scheduled could order in person quicker
115,115,I love Chipolte! Food is always fresh. Dont rush the people thru the line tho'.
116,116,"Don't get the brisket, they give you less than half of a scoop"
117,117,"Great food and great service!  Delivery was early, driver was communicative and courteous!"
118,118,"Usual Chipotle. Frequently the service is very, very slow. Food is just as great as any other Chipotle though."
119,119,What's the point of having rewards app to scan off I'm just told that I have to manually enter it from the receipt. #chipotlefail
120,120,The store manager literally yelled at me like I was her kid lol 😂 …
121,121,"I love this place for clean eating, I go there for the chicken bowls, delicious!"
122,122,"Worst Chipotle in the City. Super small portion sizes, rude, very unhelpful staff."
123,123,Never give enough meat and charge so much for extra but it's good
124,124,"Food are fresh served but while I'm in queue for order, the sewer pipes are smelling badly."
125,125,"Line can be a little long at this location but other than that, it's just as great as all other locations."
126,126,Fast service. It's ok. They need to add sour cream to their quesadillas.
127,127,Ate here twice. Got food poisoning twice. If I could give no stars I would.
128,128,"Called to place an order to go - at 3pm when I know they're not busy - and they told me to ""place the order online"". #lazy"
129,129,"It's Chipotle, it's fast and used to be cheap, not anymore"
130,130,Really good and a good price.   I love the hard shell tacos.   Try them.
131,131,Food was good.
132,132,About as good as you'd expect from a Chipotle!
133,133,Awful food and service. Really just horrible.
134,134,Service here is always excellent and I always have a great time seeing Sherie
135,135,"Move quick, seating is limited but people dont tend to linger"
136,136,I like chipotle but this location make me fall in love with it.Just perfect :)
137,137,"It's the same as every other Chipotle, and that's why we love it."
138,138,chipotle is absolutely incredibly amazing if you have free burrito coupon.
139,139,Didn’t give me silverware or napkins with online order.
140,140,i like going here cuz it a mexican restaurant and im mexican american and it has the burritos i like the burrito bowl i recomended to you.
141,141,Gotthe chicken bowl got sick the same night and the manager refunded my meal
142,142,They take care of long lines quickly! Staff is upbeat too
143,143,Is what it is for a good chain choice. Fresh cooked and staff is as expected.
144,144,Best place for an American style burrito with a cheap price! 👌🏻 …
145,145,One of the best Mexican food and you can find it everywhere
146,146,burritos that make you turn your head too the side are so good.
147,147,Missed chipotle a lot! Huge amount of delicious burrito with reasonable price!
148,148,They were rude and gave me one million beans when I said no beans.
149,149,"Love the staff there, their awesome and always so accommodating!!!"
150,150,Better than the loop one. Much cleaner and spacious.
151,151,"It's same as indian dish, still needs spicy"
152,152,Was ok but mild needs to be less spice that is more medium
153,153,Great service! They're They're friendly!
154,154,Great food with a good price politic :)
155,155,"quick easy, don't stay hungry grab a burrito on the go!"
156,156,Prices high but good serivce and food....
157,157,Within walking distance if you're shopping on the Mag Mile.
158,158,The slowest Chipotle in America no lie
159,159,Good food. Nice portions
160,160,Best food I have ate in USA....
161,161,Super clean. Super fast. Excellent service!
162,162,"With so many better spots, just go somewhere else."
163,163,Awesome and consistent no matter where you are in the US.
164,164,"Tasty food, co-operative staff."
165,165,Fast service. Not the best area after dark.
166,166,"Friendly staff, clean location... mmmm Chipotle"
167,167,Serving portions are always generous!
168,168,Best tacos for your dollar by far
169,169,They know that single meat means double meat.
170,170,"Normal Chipotle experience, no problems 😁 …"
171,171,Disgraceful serving sizes. Go elsewhere.
172,172,Very filling. Good place for a quick bite
173,173,"Amazing food, fast service"
174,174,This location literally had me in and out in 4 minutes!
175,175,Whoever grills the chicken here sucks 🤮🤢🤮 …
176,176,Great service during lunchtime.
177,177,3 words: Needs better management.
178,178,Great Chipotle and super fast service!
179,179,I got sick to my stomach with their food
180,180,It's really clean and inexpensive
181,181,a month ago
182,182,8 months ago
183,183,6 months ago
184,184,7 months ago
185,185,5 months ago
186,186,2 months ago
187,187,4 months ago
188,188,4 months ago
189,189,4 months ago
190,190,4 months ago
191,191,3 weeks ago
192,192,6 months ago
193,193,3 months ago
194,194,2 months ago
195,195,4 months ago
196,196,2 months ago
197,197,9 months ago
198,198,a year ago
199,199,3 months ago
200,200,a month ago
201,201,3 years ago
202,202,10 months ago
203,203,2 months ago
204,204,8 months ago
205,205,a year ago
206,206,5 months ago
207,207,a year ago
208,208,5 months ago
209,209,a year ago
210,210,3 weeks ago
211,211,9 months ago
212,212,4 months ago
213,213,9 months ago
214,214,a year ago
215,215,a year ago
216,216,2 years ago
217,217,a year ago
218,218,11 months ago
219,219,a year ago
220,220,a year ago
221,221,2 years ago
222,222,2 years ago
223,223,2 years ago
224,224,2 years ago
225,225,a year ago
226,226,a year ago
227,227,2 years ago
228,228,a year ago
229,229,a year ago
230,230,2 years ago
231,231,a year ago
232,232,3 years ago
233,233,a year ago
234,234,8 months ago
235,235,2 years ago
236,236,a year ago
237,237,3 years ago
238,238,2 years ago
239,239,2 years ago
240,240,2 years ago
241,241,2 years ago
242,242,9 months ago
243,243,a year ago
244,244,3 years ago
245,245,a year ago
246,246,a month ago
247,247,a year ago
248,248,2 years ago
249,249,9 months ago
250,250,6 months ago
251,251,a year ago
252,252,a year ago
253,253,a year ago
254,254,a year ago
255,255,2 years ago
256,256,a year ago
257,257,a year ago
258,258,a year ago
259,259,2 years ago
260,260,a year ago
261,261,2 years ago
262,262,2 years ago
263,263,a year ago
264,264,2 years ago
265,265,a month ago
266,266,a month ago
267,267,a year ago
268,268,2 years ago
269,269,a year ago
270,270,a year ago
271,271,a year ago
272,272,a year ago
273,273,2 years ago
274,274,a year ago
275,275,2 years ago
276,276,a year ago
277,277,a year ago
278,278,3 years ago
279,279,8 months ago
280,280,a year ago
281,281,2 years ago
282,282,9 months ago
283,283,a year ago
284,284,a year ago
285,285,6 months ago
286,286,a year ago
287,287,9 months ago
288,288,2 years ago
289,289,2 years ago
290,290,2 years ago
291,291,a year ago
292,292,3 years ago
293,293,2 years ago
294,294,8 months ago
295,295,a year ago
296,296,2 years ago
297,297,a year ago
298,298,2 years ago
299,299,a year ago
300,300,a year ago
301,301,a month ago
302,302,2 years ago
303,303,10 months ago
304,304,a year ago
305,305,a year ago
306,306,4 months ago
307,307,a year ago
308,308,a year ago
309,309,9 months ago
310,310,2 years ago
311,311,2 years ago
312,312,3 years ago
313,313,2 years ago
314,314,10 months ago
315,315,3 years ago
316,316,11 months ago
317,317,2 years ago
318,318,2 years ago
319,319,a year ago
320,320,a year ago
321,321,2 years ago
322,322,a year ago
323,323,a year ago
324,324,2 weeks ago
325,325,a year ago
326,326,a year ago
327,327,a year ago
328,328,2 years ago
329,329,a year ago
330,330,a year ago
331,331,2 years ago
332,332,2 months ago
333,333,3 months ago
334,334,3 months ago
335,335,3 months ago
336,336,4 months ago
337,337,3 months ago
338,338,3 months ago
339,339,4 months ago
340,340,4 months ago
341,341,5 months ago
342,342,6 months ago
343,343,6 months ago
344,344,6 months ago
345,345,7 months ago
346,346,10 months ago
347,347,9 months ago
348,348,9 months ago
349,349,10 months ago
350,350,10 months ago
351,351,11 months ago
352,352,a year ago
353,353,a year ago
354,354,a year ago
355,355,a year ago
356,356,a year ago
357,357,a year ago
358,358,a year ago
359,359,a year ago
360,360,a year ago
361,361,a year ago
362,362,a year ago
363,363,a year ago
364,364,a year ago
365,365,a year ago
366,366,a year ago
367,367,a year ago
368,368,a year ago
369,369,a year ago
370,370,2 years ago
371,371,2 years ago
372,372,2 years ago
373,373,2 years ago
374,374,2 years ago
375,375,2 years ago
376,376,3 years ago
377,377,a year ago
378,378,4 months ago
379,379,2 years ago
380,380,11 months ago
381,381,4 months ago
382,382,a month ago
383,383,2 years ago
384,384,a year ago
385,385,6 months ago
386,386,a year ago
387,387,2 months ago
388,388,3 years ago
389,389,a year ago
390,390,3 years ago
391,391,11 months ago
392,392,2 months ago
393,393,3 years ago
394,394,3 years ago
395,395,2 years ago
396,396,10 months ago
397,397,a year ago
398,398,3 years ago
399,399,a year ago
400,400,a year ago
401,401,Looks like all new crew... They are not welcoming. Serve cold meat and cold rice. Rush you. Give you half of what you used to get. Forget what you want on your bowl. Used to come here but won't anymore.
402,402,I ordered a veggie bowl and just wanted the included free guacamole on the side. I do this through the app fine. I asked in person and they charged me for the guac and acted really rude when I asked for clarification on why I was being charged for guac on a veggie bowl.
403,403,"Customer Service was TERRIBLE. DO NOT GO HERE. Whoever Is Over the Staff that was there on June 5th @ 6:00 PM. Should do an ENTIRE RESWAP of the staff IMMEDIATELY. That entire staff is going to ruin the revenue coming into your company, i …"
404,404,This chipotle is disgusting. They are sloppy and unsanitary. I had to walk out while the girl was fixing my food because she picked up the corn that fell and put it back in my bowl!!! You will have to see the way they operate to believe it. 🤮🤢 …
405,405,"The worst branch ever. They gave me an order I think doesn't belong to me, the add-ons were different. Additionally, the portion size wasn’t good enough"
406,406,"I go to chipotle frequently and this time was the worst ever, no joke. Look at the pictures. We had a party and I ordered 4 entrees for 4 people. Party was over really quick. All 4 spent evening sh**ing themselves. The guacamole colour says it all with over burnt meat."
407,407,"This location did not have many of the ingredients (like beans, white rice, etc) 45 minutes before closing time. It seemed like they closed their kitchen and stopped making food an hour before closing. When telling the employees that they …"
408,408,The people that work there are TERRIBLE. I say avoid this place at ALL cost. Hopefully they shut down soon. All the food is spoiled. They don’t know how to follow directions and it seems the manager don’t care at all. They just need to put a parking lot there at this point. Also don’t transfer none of them to another store.
409,409,"The location is quite convenient. It is just next to the Grand Station Red Line.  Very nice and bright place, cheerful customer service, tried their chicken burrito and the burrito bowl both tastes great! The corn chip was a blast!"
410,410,Reviewing after multiple poor experiences here. Pick up order is always either cold (even though I arrive early) or flat out wrong. Couldn’t get over my “cheese quesadilla” today and had to post
411,411,"I had the nastiest bowl here. The lettuce was old, beans had so much water. I looked like a soup and the sour cream got mixed with the water. The employees were very rude, SHE SAID SHE COULD’NT DIDNT WANT TO SELL ME A SINGLE TACO."
412,412,Disgusting. My bowl reaked of rotten ingredients before I opened the bag and sure enough rotten dairy odor and nearly black guac. Clearly no care for their patrons.
413,413,"This location is terrible. They give you anything when you do a pickup order. If you wait in line, they give the smallest portion size, barely any meat and not even a tablespoon of guacamole for the extra $3. Ridiculous!"
414,414,I eat Chipotle at several locations mostly on North side and I know what it should taste like as I always get the same meal. This location good was gross and is uneatable. The staff also did not properly close my steak bowl and on the walk …
415,415,Paid for double steak received at best a half portion. Never going back. Chipotle corp didn’t seem to care either. If I could give negative stars I would.
416,416,"I will never patronize this place again they are nasty. Me and a coworker witness one of the cooks, drop the spatula on the floor and picked it up and continue to use it to cook with.  We asked him was he gonna clean it off and he ignored us and continue to work like he didn’t hear  us. Disgusting!!!"
417,417,"Not going to lie. The Entire Staff That Is On Shift Monday June 5th, 2023, At 6:30PM-7:00PM were DISGUSTINGLY RUDE AND INAPPROPRIATE. I’m calling cooperate. The staff refused to serve me and threaten to spit in my food."
418,418,"I’d give a zero if possible. Never order from this chipotle, ever. I ordered twice in a row because the first time I got the wrong order completely (chicken bowl with all the wrong toppings instead of a veggie bowl. Reordered my veggie …"
419,419,"I’ve been ordering from this location for the last 4 months hoping to get better quality, but yet the continue to disappoint As a former chipotle employee of 3 years, this chipotle location is a complete let down. When I ask for extra …"
420,420,Standard Chipotle experience with fast service and overall clean atmosphere. Large lunch rush from local office buildings. Lots of to-go traffic.
421,421,"This is the only chipotle in the area but by far the worst chipotle I’ve been to. I’ve worked at chipotle in the past for 6 months, I understand how portions work and they give an insanely low amount of portions, less than what they’re …"
422,422,"Terrible customer service, when ordering online food is never ready when app indicates it is. Food is usually undercook. Would not recommend."
423,423,Worst chipotle ever.  Got 4 delivery orders in a row wrong.  Idiots.
424,424,This restaurant is so petty they threw a bag a me and I had to calm myself down so never go here
425,425,Went here today and the nicest employee took my order. Then as i was eating maybe 15+ min later i overheard the manager harassing her about checking her phone for less than 5 seconds. I overheard them argue and she tried to send her home. …
426,426,"Just had a horrible experience with a woman named Lucille, who said she was the manager. I shop here all the time and never had any issues. I was pointing through the glass at toppings that I wanted, and she, very rudely yelled, “can you …"
427,427,I ordered a veggie bowl and the vegetables were burnt (not roasted) ....and the white rice was not cooked well. I had a bunch of raw rice grains in my bowl.
428,428,DISGUSTING location 525 Monroe. I could smell the rotting food before I even opened the bag and sure enough rotting dairy and guac that was almost black. It is very clear employees have zero concern for consumer safety. Absolutely filthy!!!
429,429,"The staff is rude & portions low.
They reccomended going to other locations when i brought this up so I reccomend the same thing."
430,430,Service is super quick but because of it can be rude or just not helpful. Food was good
431,431,"How can it be that hard to get a 2 person order correct?  Made 3 orders from here in 6 months, 2 were badly wrong.  First one had everything basically wrong.  Today, ordered a steak burrito with extra steak and got no steak at all on the …"
432,432,Great Chipotle location. The staff moves quick through the downtown lunch rush. As a Chipotle connoisseur I can say with confidence that location has the best steak. They season it well!
433,433,"Good food, great price. Let's come to test."
434,434,"Ordered their new plant based chorizo for delivery, and was instead given chicken. As a vegan, this is unacceptable. I called and asked for them to correct the order, and they said they couldn't deliver it since it was delivered by a third …"
435,435,I’ve been here maybe two dozen times and been to plenty of other Chipotle locations. This location is horrendous about skimping on the portions compared to others. Avoid mobile ordering at all costs. I think everyone that works here is a 90 lb teenager that doesn’t understand what a normal portion from Chipotle looks like.
