Unnamed: 0,0,1,0,wiI7pd
47,"{'label': 'POSITIVE', 'score': 0.9923887848854065}","{'label': 'NEGATIVE', 'score': 0.999505877494812}",48.0,"We've been to 2 Chipotles in Chicago on vacation here. Both locations without even having to ask to follow protocol for a gluten allergy have just jumped, fresh bins, separated and completed with a smile. Where we live, that's hard to find …"
48,"{'label': 'POSITIVE', 'score': 0.9877675771713257}","{'label': 'POSITIVE', 'score': 0.9988572597503662}",49.0,"I work right near this location. I try to come in often as they make some great food. I ordered a quesadilla today, and the manager comped it because they hadn't seen me for a while! Free food tastes great, but regardless of that, I really enjoy this location and have been enjoying it for years!"
49,"{'label': 'POSITIVE', 'score': 0.9849350452423096}","{'label': 'POSITIVE', 'score': 0.9989222288131714}",50.0,"This is easily the best Chipotle in Chicago. I work in the area and even though it's always super busy during lunch, my online order is ready when it's supposed to be, and is perfect. This Chipotle is truly the only good thing about working in River North, which is a nightmare hellscape."
50,"{'label': 'POSITIVE', 'score': 0.9872199296951294}","{'label': 'POSITIVE', 'score': 0.9987422823905945}",51.0,"Nice and spacious. Beautiful window view and the staff are pretty nice, courteous and professional. The food is good, just need a touch more of salt. Other than that, I really don't have any complaints at all."
51,"{'label': 'POSITIVE', 'score': 0.9857783317565918}","{'label': 'POSITIVE', 'score': 0.998930037021637}",52.0,"It's chipotle, the staff are chill and made you some tasty food what's not to like"
52,"{'label': 'POSITIVE', 'score': 0.986696183681488}","{'label': 'POSITIVE', 'score': 0.9989153146743774}",53.0,Food was fresh but portions .. quarter of a spoon of meat?!! Or of pretty much anything. Beans and rice had no flavor. Scratching this location off the list for sure
53,"{'label': 'POSITIVE', 'score': 0.9233965277671814}","{'label': 'NEGATIVE', 'score': 0.9995061159133911}",54.0,I've been here three times for lunch; quick service every time. It's a small spot but never had trouble finding a place to sit. Generous with the sour creme.
54,"{'label': 'POSITIVE', 'score': 0.9509027004241943}","{'label': 'POSITIVE', 'score': 0.9988934397697449}",55.0,"I love chipotle in general, this location is great because it's good food for a fantastic price in the middle of the restaurant district of Chicago. NOT impressed with their online ordering... They advertise it like it's a time saver and …"
55,"{'label': 'POSITIVE', 'score': 0.9898179173469543}","{'label': 'POSITIVE', 'score': 0.99339359998703}",56.0,"Ahhhh, Chipotle, we meet again. How I have loved  your chicken burritos for so long. I've recently switched to chicken bowls rather than burritos to save on the carbs. I was afraid I would lose some of the flavor, but none was lost! I love …"
56,"{'label': 'POSITIVE', 'score': 0.99017333984375}","{'label': 'POSITIVE', 'score': 0.9989215135574341}",57.0,"This store has drastically changed within the last two weeks. It's dirty, there are bugs flying out of the plasticware dispenser, and all of the tables have food on them. The last clean table is where some of the staff are randomly hanging out while the few in line are doing the brunt of the work. Never again!"
57,"{'label': 'POSITIVE', 'score': 0.9856045246124268}","{'label': 'NEGATIVE', 'score': 0.9994919300079346}",58.0,You'll have to wait about 10+ minutes during the lunch rush which is when I go. Other than that generous servings compared to the one by my house. Just need to be able to move customers out faster.
58,"{'label': 'POSITIVE', 'score': 0.9791394472122192}","{'label': 'POSITIVE', 'score': 0.9948686361312866}",59.0,"Mexican grill offering quick options like burritos, tacos, burrito bowls, etc. They used to be my favorite 'go to' spot for burritos but now I usually frequent my neighborhood mom and pop Mexican restaurant. Chipotle is okay if you're …"
59,"{'label': 'POSITIVE', 'score': 0.9796229004859924}","{'label': 'POSITIVE', 'score': 0.9401611089706421}",60.0,"Mistakenly ordered a burrito instead of a bowl. When i asked if the bowl could be made instead, the cashier proceeded to insult me with expletives. I've never had such an awful experience and I will not be returning."
60,"{'label': 'POSITIVE', 'score': 0.9865840077400208}","{'label': 'NEGATIVE', 'score': 0.9995063543319702}",61.0,"Chipotle is great.  I never used to eat burritos before a friend introduced me to them here.  Now that ive widened my horizons, ive tried them at lots of places, but chipotle is the only place i keep coming back to.  Its great being able to …"
61,"{'label': 'POSITIVE', 'score': 0.9920344948768616}","{'label': 'POSITIVE', 'score': 0.9989012479782104}",62.0,Loveeeee this Chipotle. The food is amazing and not to mention the staff. Always positive and so helpful! I come everyday and never have a single complain. Highly recommend this restaurant!
62,"{'label': 'POSITIVE', 'score': 0.9914841055870056}","{'label': 'POSITIVE', 'score': 0.9989398121833801}",63.0,"This chipotle sucks! Yes, its possible. just threw out all of my food because the guacamole was old and ruined everything. This isnt a first time so i have to say something. Freaking sucks. I spend $10.04 on food i expect it to be somewhat …"
63,"{'label': 'POSITIVE', 'score': 0.9908387064933777}","{'label': 'NEGATIVE', 'score': 0.9994927644729614}",64.0,"The place if fast if you in a rush, but still gives great service. It is always filling and I recommend the Bowl!! You can't go wrong with getting the chicken. I also recommend the chips with some sour cream."
64,"{'label': 'POSITIVE', 'score': 0.9790889620780945}","{'label': 'POSITIVE', 'score': 0.9989204406738281}",65.0,Saw a cockroach in the dining area while in line and walked out. I see a 7 month old review talking about cockroaches as well. Get your roach problem under control.
65,"{'label': 'NEGATIVE', 'score': 0.6788568496704102}","{'label': 'NEGATIVE', 'score': 0.9982951283454895}",66.0,"Mom and I had delicious tacos, actually she had a chicken bowl without the tortillas. My tacos were yummy!"
66,"{'label': 'POSITIVE', 'score': 0.8188347816467285}","{'label': 'POSITIVE', 'score': 0.9988527297973633}",67.0,"Worst service ever! Small portions, rude employee, dirty store! Avoid at all costs"
67,"{'label': 'POSITIVE', 'score': 0.9892451763153076}","{'label': 'NEGATIVE', 'score': 0.9995075464248657}",68.0,Had the smallest portion ever with this Chipotle location. Usually I'm stuffed after a eating a bowl at other locations but not this one. All the tables were unclean. Had to walk around to find a clean table.
68,"{'label': 'POSITIVE', 'score': 0.9804978370666504}","{'label': 'NEGATIVE', 'score': 0.9994997978210449}",69.0,"I love chipotle, but I went to this new location and was surprised by the really bad customer service. The two girls serving the food looked down on customers, and seemed like they were not enjoying their job, and were taking it all out on the customers. Will not go back to this location."
69,"{'label': 'POSITIVE', 'score': 0.8074144124984741}","{'label': 'NEGATIVE', 'score': 0.9995067119598389}",70.0,"Don’t go to this location they will give you half spoon of everything, including your protein which is the worst.  SMH! Very disappointed, I basically paid $21.5 for 2 half burritos 🌯🙄 …"
70,"{'label': 'POSITIVE', 'score': 0.9506815671920776}","{'label': 'NEGATIVE', 'score': 0.9995110034942627}",71.0,There were several large pieces of avocado shell in my burrito. See included photo.
71,"{'label': 'POSITIVE', 'score': 0.9877320528030396}","{'label': 'NEGATIVE', 'score': 0.996863603591919}",72.0,What can I say I just love me some Chipotle got to get that half chicken half steak burrito with fajita mix black beans pico de gallo and a red sauce and lettuce. …
72,"{'label': 'POSITIVE', 'score': 0.9600360989570618}","{'label': 'POSITIVE', 'score': 0.9988182187080383}",73.0,"I feel like they're going light on giving you extra ingredients and making the burritos smaller than they used to but it's still really good, fresh food."
73,"{'label': 'POSITIVE', 'score': 0.9843066930770874}","{'label': 'POSITIVE', 'score': 0.9988653659820557}",74.0,Best Chipotle I have ever been too. The staff seems to enjoy their jobs there. The place is very clean. It's definitely my favorite location.
74,"{'label': 'POSITIVE', 'score': 0.9817460775375366}","{'label': 'POSITIVE', 'score': 0.9989295601844788}",75.0,Incredible food nice staff
75,"{'label': 'POSITIVE', 'score': 0.9403578639030457}","{'label': 'POSITIVE', 'score': 0.9988691210746765}",76.0,It's chipotle. What does that mean?  You're going to have a fast delicious tex-mex style meal. You'll leave with a full belly. I'm a big fan of ordering the burrito bowl with tacos on the side (no extra charge).
76,"{'label': 'POSITIVE', 'score': 0.726447343826294}","{'label': 'POSITIVE', 'score': 0.9988816380500793}",77.0,"This Chipotle is very similar to the other's in the franchise, but it's the one closest to my work so I frequent it most often.  The burritos are delicious :)  There is often a line during lunch, so be prepared."
77,"{'label': 'POSITIVE', 'score': 0.9932543635368347}","{'label': 'POSITIVE', 'score': 0.998894989490509}",78.0,"New smoked brisket is the worst. Dry, hard, tasteless pieces of burnt charcoal. Don't try it."
78,"{'label': 'POSITIVE', 'score': 0.9940699338912964}","{'label': 'NEGATIVE', 'score': 0.9995068311691284}",79.0,"Its chipotle, but it was never busy for marathon weekend and i was in and out without a hiccup."
79,"{'label': 'NEGATIVE', 'score': 0.8752257227897644}","{'label': 'POSITIVE', 'score': 0.9988792538642883}",80.0,"Service sucks at this location but it is otherwise the same old Chipotle food you will get at any other location.  I recommend going to a real Mexican restaurant if you're already downtown but if you have to have Chipotle, this will do."
80,"{'label': 'POSITIVE', 'score': 0.9946942925453186}","{'label': 'NEGATIVE', 'score': 0.999502420425415}",81.0,"Convenient, fast, clean, and great food! Would have loved more seating, and perhaps something a bit more comfortable as a queue area, but otherwise this is a great place to grab a bite anytime!"
81,"{'label': 'POSITIVE', 'score': 0.8728657364845276}","{'label': 'POSITIVE', 'score': 0.9989351630210876}",82.0,"They use the grass feed cows' meat!  It was recommended  in Food Inc movie!
Very fast you can pickup your food or dine in and the Mexican food choices are delicious."
82,"{'label': 'POSITIVE', 'score': 0.9932108521461487}","{'label': 'POSITIVE', 'score': 0.9989018440246582}",83.0,"Like every other River​ North counter service lunch spot, long lines and scarce seating at lunch rush. Otherwise, standard Chipotle conveniently located at the corner of State St. And Grand."
83,"{'label': 'POSITIVE', 'score': 0.9910466074943542}","{'label': 'NEGATIVE', 'score': 0.998030960559845}",84.0,"The thing about all chipotles is the servers don't listen and ask the same questions over and over. I don't get it, because this is particular to chipotles only. It's almost as if they're in their own world."
84,"{'label': 'POSITIVE', 'score': 0.9918328523635864}","{'label': 'NEGATIVE', 'score': 0.9994895458221436}",85.0,Great location. The staff is super friendly and fast. Really enjoyed it.
85,"{'label': 'POSITIVE', 'score': 0.9850856065750122}","{'label': 'POSITIVE', 'score': 0.9989186525344849}",86.0,I had an awesome time the staff was friendly and nice the bathrooms were clean and sanitized.....great experience will definitely back👍👍👍the food was scrumptious as always..... …
86,"{'label': 'POSITIVE', 'score': 0.9960293769836426}","{'label': 'POSITIVE', 'score': 0.9989295601844788}",87.0,"I love chipotle, I don't love this location. You basically get a rice burrito. Walk an extra few blocks to the one on Michigan. Much better"
87,"{'label': 'POSITIVE', 'score': 0.9961380362510681}","{'label': 'NEGATIVE', 'score': 0.9994760155677795}",88.0,"Server gave different amounts of meat to different customers, chicken was burnt. Other than that, service was fast and nice."
88,"{'label': 'POSITIVE', 'score': 0.9930257797241211}","{'label': 'POSITIVE', 'score': 0.9977496266365051}",89.0,"Been to this location multiple times. Hard, uncooked rice, smaller serving sizes than other locations, and occasional bad service are among the reasons I will never return here."
89,"{'label': 'POSITIVE', 'score': 0.9897543787956238}","{'label': 'NEGATIVE', 'score': 0.9995092153549194}",90.0,I don't understand how this restaurant franchise stays open for business. The food nasty and environment preparation area is full of germs/contamination.
90,"{'label': 'POSITIVE', 'score': 0.995498538017273}","{'label': 'NEGATIVE', 'score': 0.9995098114013672}",91.0,Girl that took my order seemed to be annoyed the whole time and didn’t give me the proper amount of food. I asked for more rice and that seemed to bother her...
91,"{'label': 'POSITIVE', 'score': 0.9900912046432495}","{'label': 'NEGATIVE', 'score': 0.9995081424713135}",92.0,Every time I go there the food is looking dry up why can't you stir the food make it presentable I walk out every time and go to Chipotle on state
92,"{'label': 'POSITIVE', 'score': 0.9914344549179077}","{'label': 'NEGATIVE', 'score': 0.9995027780532837}",93.0,They need to start hiring people who actually care for their customers. They need to loose their attitudes before walking in for their shift. Makes customers uncomfortable.
93,"{'label': 'POSITIVE', 'score': 0.9707909226417542}","{'label': 'NEGATIVE', 'score': 0.9994121789932251}",94.0,If you order a large guacamole with a large bag of chips make sure they don’t give you a regular bag of chips. They keep making the same mistake.
94,"{'label': 'POSITIVE', 'score': 0.9835163950920105}","{'label': 'NEGATIVE', 'score': 0.9994658827781677}",95.0,Their food is wonderful.I love how they mix there foods together. Their service is unbelievable .When you eat their food it gives you that mexican feel about food.
95,"{'label': 'NEGATIVE', 'score': 0.9853160977363586}","{'label': 'POSITIVE', 'score': 0.9989351630210876}",96.0,"How mych do I lover thee, let me count the ways, love those burrito bowls, steak, yummy goodness in a bowl, thats rocks, you can add the vegiies and cheese and salsa, it never ends, I became addicted to the stuff during pregnancy and it stayed with me"
96,"{'label': 'POSITIVE', 'score': 0.9776211380958557}","{'label': 'POSITIVE', 'score': 0.9988759160041809}",97.0,Your average Chipotle. One thing that is annoying is that this place always breaks (when folding it they pop it) my burrito unlike other Chipotles that I visit.
97,"{'label': 'POSITIVE', 'score': 0.9830166697502136}","{'label': 'NEGATIVE', 'score': 0.9994878768920898}",98.0,"Quick, filling, great food - team is more than happy to help you choose the best dish from their menu"
98,"{'label': 'POSITIVE', 'score': 0.982628345489502}","{'label': 'POSITIVE', 'score': 0.998903751373291}",99.0,"The food at this location is the same as the other chipotle branches, yet I have had repeated occurrences with rude staff and unethical behavior at this location, I reccomend walking to the other downtown locations."
99,"{'label': 'NEGATIVE', 'score': 0.9731773734092712}","{'label': 'NEGATIVE', 'score': 0.9995108842849731}",100.0,"Been here multiple times, usually packed, but when I came in to pick up an online order, there was no one in line, yet took 15 minutes to get someone's attention and my order hadn't been started."
100,"{'label': 'POSITIVE', 'score': 0.9969483017921448}","{'label': 'NEGATIVE', 'score': 0.9995087385177612}",101.0,Found four small pieces of bones in my food. Felt severe discomfort while chewing the food. I am a regular customer but this was very bad experience.
101,"{'label': 'POSITIVE', 'score': 0.9909297823905945}","{'label': 'NEGATIVE', 'score': 0.9995089769363403}",102.0,"The food was good, but my son couldn't get in the bathroom even with the secret code."
102,"{'label': 'POSITIVE', 'score': 0.9892438650131226}","{'label': 'NEGATIVE', 'score': 0.9994895458221436}",103.0,"Never been to this location, live the Brand and the Food. The location is good for in and out parking for downtown."
103,"{'label': 'POSITIVE', 'score': 0.993238091468811}","{'label': 'NEGATIVE', 'score': 0.9957864880561829}",104.0,"First time I had Chipotle, Belgian guy in Chicago, was great, I enjoyed it for like 3 days."
104,"{'label': 'POSITIVE', 'score': 0.9960236549377441}","{'label': 'POSITIVE', 'score': 0.9987176656723022}",105.0,"It's clean inside, but compared to other chiptole locations in the city, the staff here are... ""Slightly less competent"" you could say. Not for folks in a hurry"
105,"{'label': 'POSITIVE', 'score': 0.9888980984687805}","{'label': 'NEGATIVE', 'score': 0.9986953139305115}",106.0,"Chipotle is definitely the best restaurant of its kind in terms of serving fresh, tasty, well-portioned, responsibly sourced food"
106,"{'label': 'POSITIVE', 'score': 0.9837221503257751}","{'label': 'POSITIVE', 'score': 0.9989084005355835}",107.0,"Five stars for being exactly what you'd expect from any Chipotle. Despite its downtown location, the prices are still the same as anywhere else."
107,"{'label': 'POSITIVE', 'score': 0.9779637455940247}","{'label': 'POSITIVE', 'score': 0.9988368153572083}",108.0,Good food at decent prices. Can get a little noisy around lunch and very busy.
108,"{'label': 'POSITIVE', 'score': 0.9930245876312256}","{'label': 'POSITIVE', 'score': 0.9988254904747009}",109.0,"It's alright,  tolerable. If I want real Mexican food I wouldn't eat at Chipotle"
109,"{'label': 'POSITIVE', 'score': 0.9923377633094788}","{'label': 'NEGATIVE', 'score': 0.9982529282569885}",110.0,It's Chipotle.. Same great food and large portions at a great price.  You know I'll be back
110,"{'label': 'POSITIVE', 'score': 0.9920316934585571}","{'label': 'POSITIVE', 'score': 0.998920202255249}",111.0,Staff was friendly. Everything was clean. Bathrooms were clean. Food was great! It was good times!
